"filename", "language", "JSON", "PHP", "CSS", "JavaScript", "XML", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_01_160542_update_create_vendors_table.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 12, 4, 29
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_01_160724_change_pincode_to_zipcode_in_vendors_table.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 12, 4, 33
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_01_162632_create_vendors_table.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 10, 4, 41
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_01_224354_add_gender_and_age_to_users_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 11, 4, 34
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_04_153107_create_sections_table.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 10, 4, 34
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_05_162955_create_categories_table.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 10, 4, 43
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\AdminsTableSeeder.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 5, 4, 25
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\CategoryTableSeeder.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 5, 5, 27
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\DatabaseSeeder.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 10, 5, 26
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\SectionsTableSeeder.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 5, 4, 26
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\VendorsBankDetailsTableSeeder.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\VendorsBusinessDetailsTableSeeder.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\VendorsTableSeeder.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 10, 5, 21
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\lang\en\validation.php", "PHP", 0, 146, 0, 0, 0, 0, 0, 30, 9, 185
